SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.67778070526608,34.8,,,37.2,3.09,2
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25,2.20065945054642,29.8,0.000003,0.55,42.2,3.2,8
CC(C)(C)OCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.85698519974591,44,0.0000011,1.51,28,3.18,1
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25,1.78701381526333,39.2,0.0000029,0.57,32.8,2.2,2
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],anionic,25,1.95860731484178,39,0.0000029,0.57,33,2.41,6
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],anionic,25,1.52287874528034,20.2,0.0000028,0.59,51.8,2.57,6
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25,1.53760200210104,20.6,0.0000039,0.43,51.4,2.51,7
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25,1.52287874528034,24.6,0.000004,0.42,47.4,2.5,7
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],anionic,25,1.87942606879415,35.2,0.00000155,1.07,36.8,2.85,0
CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,2.60205999132796,41,0.0000029,0.572599678335809,31,3.05,3
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,2.53760200210104,41.4,0.0000026,0.64,30.6,2.94,6
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,2.4089353929735,41.1,0.0000032,0.52,30.9,3.73,6
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25,4.92081875395238,36.9,0.00000097,1.708,35.07,6.28,6
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25,4.79588001734408,33.7,0.00000117,1.414,38.27,6.17,6
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25,4.52287874528034,34.1,0.00000129,1.288,37.87,5.73,6
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25,4.22914798835786,34.4,0.00000166,1.001,37.57,5.17,6
CCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25,3.32799455497705,20,0.00000177,0.94,52,4.91136954049497,2
CCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25,2.39804859586648,18,0.00000206,0.8,54,3.84355082020611,2
CCCCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,25,2.04100633496967,19,0.00000166,0.99,53,3.78206305379689,2
CCCCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25,2.92118081690115,20,0.0000016,1.04,52,4.67278939463035,3
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.09151498112135,39.5,0.00000195,0.52,32,2.5,6
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4.06550154875643,,,,,,5
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25,2.86966623150499,,,,,,3
CCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)[O-].[Na+],anionic,25,2.82390874094432,,,,,,6
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.60205999132796,,,,,,8
