,Source_ID,Target_ID,Source_Mol,Target_Mol,Source_Mol_pCMC,Target_Mol_pCMC,Delta_pCMC,Source_Mol_Area_min,Target_Mol_Area_min,Delta_Area_min,Source_Mol_AW_ST_CMC,Target_Mol_AW_ST_CMC,Delta_AW_ST_CMC
0,compound_287,compound_286,CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.82390874094432,4.61996975203217,0.7960610110878501,0.485508143901825,0.52261483669281,0.0371066927909849,28.4317283630371,31.382303237915,2.9505748748779013
1,compound_286,compound_289,CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.61996975203217,4.95900230757651,0.3390325555443398,0.52261483669281,0.534303069114685,0.011688232421875,31.382303237915,31.9441528320313,0.5618495941162998
2,compound_290,compound_289,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.04599883231843,4.95900230757651,0.9130034752580798,0.520792365074158,0.534303069114685,0.0135107040405269,29.7787933349609,31.9441528320313,2.1653594970704013
3,compound_288,compound_287,CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.00899555966925,3.82390874094432,1.8149131812750696,0.436448812484741,0.485508143901825,0.049059331417084,26.9231300354004,28.4317283630371,1.5085983276366974
4,compound_287,compound_290,CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.82390874094432,4.04599883231843,0.2220900913741101,0.485508143901825,0.520792365074158,0.035284221172333,28.4317283630371,29.7787933349609,1.3470649719237997
5,compound_291,compound_290,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.85387196432176,4.04599883231843,1.19212686799667,0.476337611675262,0.520792365074158,0.044454753398896,28.1504020690918,29.7787933349609,1.628391265869098
6,compound_288,compound_291,CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.00899555966925,2.85387196432176,0.8448764046525099,0.436448812484741,0.476337611675262,0.039888799190521,26.9231300354004,28.1504020690918,1.2272720336913991
7,compound_409,compound_390,CCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,CCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.08092190762393,2.24412514432751,1.1632032367035798,0.66,0.39,-0.27,32.2,31.8,-0.4000000000000021
8,compound_395,compound_410,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.74472749489669,2.0,0.25527250510331,0.428054809570313,0.451528549194336,0.0234737396240229,28.6,30.0,1.3999999999999986
9,compound_412,compound_395,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.23657200643706,1.74472749489669,0.50815548845963,0.498662948608398,0.428054809570313,-0.070608139038085,33.2,28.6,-4.600000000000001
